Reviewer,Note,Comment,Localisation,Nbreviews,Date,Compagny
Jeanne,1.0,"Good plan

I had a good experience as I was able to complete the class without being bored or tired as it had so much entertaining times with funny stories.",US,1,2022-08-01T06:59:35Z,"Comedy Driving, Inc."
HECTOR VILLARREAL JR.,1.0,It was perfect program,US,2,2022-08-01T05:21:12Z,"Comedy Driving, Inc."
Rebecca,1.0,Easy to navigate and kept my attention,US,1,2022-08-01T03:10:42Z,"Comedy Driving, Inc."
Annette,1.0,"Was very simple and fun Experience that helped me out

Very simple and fun experience that help me out",US,1,2022-08-01T02:15:55Z,"Comedy Driving, Inc."
Charles,1.0,"I thought it was a good course I didn't…

I thought it was a good course I didn't put me to sleep I liked that I could do my own pace.",US,1,2022-07-31T03:58:00Z,"Comedy Driving, Inc."
Azmat,1.0,"a nice very informative and…

a nice very informative and comprehensive defensive driving course for all",US,2,2022-07-31T03:34:09Z,"Comedy Driving, Inc."
Raymond,1.0,"another year of discounts and safe driving

The course was ""great"". It's funny, intuitive and packed full of up to date, useful and important information. I like the small nuggets of information along the way. I also like the way its setup to give you very, very detailed instructions at the beginning and how it holds your place and keep track of your time. Awesome concept.",US,1,2022-07-30T02:32:52Z,"Comedy Driving, Inc."
Andrew,0.8,"It was what it is

It was what it is, a driving class with mandatory content & some comedy. Personally I only chuckled only once, but I suppose that better than not @ all. Seemed long but that’s from the mandatory length & content. I’d definitely recommend the class if it becomes a need.",US,3,2022-07-29T23:39:00Z,"Comedy Driving, Inc."
Ernest,1.0,Entertaining while informative,US,1,2022-07-29T18:58:12Z,"Comedy Driving, Inc."
Sabel,1.0,"Excelent course!!

Excelent course!!! Very informative and funny",US,1,2022-07-29T18:42:44Z,"Comedy Driving, Inc."
Joanna,1.0,"Great safety tips and the comedy was on…

Great safety tips and the comedy was on point. I had a blast, wish more driving classes were like this on making it important to learn",US,2,2022-07-29T12:44:05Z,"Comedy Driving, Inc."
Linda D Garcia,1.0,"This was my 1st online

This was my 1st online. I really enjoyed it. The stories made an impact on how I drive. Thank you",US,3,2022-07-29T03:19:21Z,"Comedy Driving, Inc."
Darlene,1.0,I enjoyed watching the videos,US,1,2022-07-29T02:25:16Z,"Comedy Driving, Inc."
Amber G.,1.0,"Awesome Course!

Awesome course. Love that I didn't have to go in person to take it, and could log off and revisit it when needed. A few chuckles here and there at the course material, and the animation made it easy to follow.",US,2,2022-07-29T01:00:03Z,"Comedy Driving, Inc."
Yogesh,1.0,"Excellent course

Excellent course! Funny and informative.",US,1,2022-07-28T23:59:37Z,"Comedy Driving, Inc."
Soundararajan,1.0,"Very good information

Very good information. Very informative. Though I never had any alcoholic drink in my entire life, I came to know that one could be victim of other drunk drivers and should be always be vary about it.",US,1,2022-07-28T23:04:51Z,"Comedy Driving, Inc."
Naquita,1.0,Excellent Course!,US,1,2022-07-28T20:07:21Z,"Comedy Driving, Inc."
Kyle,1.0,"Very fast paced

Course was easy to use and very quick to get through.",US,1,2022-07-28T19:57:49Z,"Comedy Driving, Inc."
Jane,1.0,"Comedy Driving App was great

I used the phone App to complete the course. It allowed me to work on it as I had time. It really worked well for my busy schedule. I actually learned a lot with this course. Getting the certificate via email was very convenient. Would definitely do this course again.",US,1,2022-07-28T17:36:55Z,"Comedy Driving, Inc."
