Index,Compagny,Typo,Nb_reviews,Rating,Website,review_link,SubCategory
71,Mavis Discount Tire,Auto Repair Shop,18483,4.7,https://www.mavistire.com,https://www.trustpilot.com/review/mavistire.com,Car Accessories Store 
72,BOATERexam.com,Boat Dealer,17773,4.7,https://www.boaterexam.com,https://www.trustpilot.com/review/boaterexam.com,Car Accessories Store 
73,StockWiseAuto.com,Auto Parts Store,16187,4.7,https://www.stockwiseauto.com,https://www.trustpilot.com/review/stockwiseauto.com,Car Accessories Store 
74,National Parts Depot,Auto Parts Store,9533,4.7,https://www.npdlink.com,https://www.trustpilot.com/review/npdlink.com,Car Accessories Store 
75,DriversEd.com,Driving School,9378,4.7,https://www.www.driversed.com,https://www.trustpilot.com/review/www.driversed.com,Car Accessories Store 
76,Pure Diesel Power,Auto Parts Store,5454,4.7,https://www.puredieselpower.com,https://www.trustpilot.com/review/puredieselpower.com,Car Accessories Store 
77,IPD,Auto Parts Store,4916,4.7,https://www.www.ipdusa.com,https://www.trustpilot.com/review/www.ipdusa.com,Car Accessories Store 
78,Auto Lenders,Car Dealer,3612,4.7,https://www.autolenders.com,https://www.trustpilot.com/review/autolenders.com,Car Accessories Store 
79,Teletrac Navman,Car Accessories Store,2726,4.7,https://www.teletracnavman.com,https://www.trustpilot.com/review/teletracnavman.com,Car Accessories Store 
80,CashForCars.com,Car Dealer,2520,4.7,https://www.cashforcars.com,https://www.trustpilot.com/review/cashforcars.com,Car Accessories Store 
81,Dial 7 Car & Limousine Service,Car Accessories Store,54582,4.6,https://www.dial7.com,https://www.trustpilot.com/review/dial7.com,Car Accessories Store 
82,"Town Fair Tire Centers, Inc",Tire Shop,40998,4.6,https://www.www.townfairtire.com,https://www.trustpilot.com/review/www.townfairtire.com,Car Accessories Store 
83,Turo,Car Rental Agency,27102,4.6,https://www.turo.com,https://www.trustpilot.com/review/turo.com,Car Accessories Store 
84,American Tire Depot,Tire Shop,21557,4.6,https://www.americantiredepot.com,https://www.trustpilot.com/review/americantiredepot.com,Car Accessories Store 
85,"Smart Start, Inc.",Car Equipment Accessories Store,12671,4.6,https://www.smartstartinc.com,https://www.trustpilot.com/review/smartstartinc.com,Car Accessories Store 
86,Sixity.com,Motorsports Store,4487,4.6,https://www.www.sixity.com,https://www.trustpilot.com/review/www.sixity.com,Car Accessories Store 
87,Sinister Diesel,Auto Parts Store,3953,4.6,https://www.sinisterdiesel.com,https://www.trustpilot.com/review/sinisterdiesel.com,Car Accessories Store 
88,SixityAuto.com,Auto Parts Store,3480,4.6,https://www.sixityauto.com,https://www.trustpilot.com/review/sixityauto.com,Car Accessories Store 
89,Auto Credit Express,Non-Bank Financial Service,3214,4.6,https://www.www.autocreditexpress.com,https://www.trustpilot.com/review/www.autocreditexpress.com,Car Accessories Store 
90,Sport Compact Warehouse,Car Accessories Store,2923,4.6,https://www.sportcompactwarehouse.com,https://www.trustpilot.com/review/sportcompactwarehouse.com,Car Accessories Store 
91,Academy,Car Accessories Store,2408,4.6,https://www.academybus.com,https://www.trustpilot.com/review/academybus.com,Car Accessories Store 
92,PRO Import Tuners.com,Auto Parts Store,2220,4.6,https://www.proimporttuners.com,https://www.trustpilot.com/review/proimporttuners.com,Car Accessories Store 
93,First Charter Bus Rental,Bus and Coach Company,7589,4.5,https://www.firstcharterbus.com,https://www.trustpilot.com/review/firstcharterbus.com,Car Accessories Store 
94,JennyChem,Car Accessories Store,5988,4.5,https://www.jennychem.com,https://www.trustpilot.com/review/jennychem.com,Car Accessories Store 
95,Viking Bags,Motorcycle Shop,5308,4.5,https://www.vikingbags.com,https://www.trustpilot.com/review/vikingbags.com,Car Accessories Store 
96,Complete Tractor,Auto Parts Store,5199,4.5,https://www.completetractor.com,https://www.trustpilot.com/review/completetractor.com,Car Accessories Store 
97,Extreme Tactical Dynamics,Car Accessories Store,3070,4.5,https://www.www.extremetacticaldynamics.com,https://www.trustpilot.com/review/www.extremetacticaldynamics.com,Car Accessories Store 
98,eEuroparts.com,Auto Parts Store,24243,4.4,https://www.www.eeuroparts.com,https://www.trustpilot.com/review/www.eeuroparts.com,Car Accessories Store 
99,YourMechanic,Auto Repair Shop,8427,4.4,https://www.yourmechanic.com,https://www.trustpilot.com/review/yourmechanic.com,Car Accessories Store 
100,Brake Performance,Auto Parts Store,4470,4.4,https://www.brakeperformance.com,https://www.trustpilot.com/review/brakeperformance.com,Car Accessories Store 
101,Del City,Auto Parts Store,6305,4.3,https://www.delcity.net,https://www.trustpilot.com/review/delcity.net,Car Accessories Store 
102,Millennium Garages,Valet Parking Service,4346,4.3,https://www.www.millenniumgarages.com,https://www.trustpilot.com/review/www.millenniumgarages.com,Car Accessories Store 
